case,expectancy,age,transition,s,delta,cc
1,h,50,init,6.607474671710808,0.003810017826877843,0.025174596289862
1,u,50,init,-2.08023805680751,0.003810017826877843,-0.007925744080586335
1,t,50,init,4.527236614903298,0.003810017826877843,0.017248852209275665
1,h,50,HH,25.05346222548869,-0.0014766935920338398,-0.03699628712664101
1,h,51,HH,24.082896486814438,-0.001196467809835955,-0.028814410414084883
1,h,52,HH,23.11324515245824,-8.861482698333534e-4,-0.020481762202085012
1,h,53,HH,22.14861628578823,-5.440570935552058e-4,-0.012050111802715441
1,h,54,HH,21.1914969941699,-1.6854967336155102e-4,-0.003571819896409627
1,h,55,HH,20.24353758320704,2.4195796752524146e-4,0.004898085209153614
1,h,56,HH,19.3059606421453,6.889564524635849e-4,0.013300966155414021
1,h,57,HH,18.37977738086932,0.0011738041880462458,0.021574259665022067
1,h,58,HH,17.46590354828803,0.00169768149583982,0.029651541262051644
1,h,59,HH,16.56522228703678,0.0022615367855192137,0.03746285956243639
1,h,60,HH,15.67861850108741,0.0028660237243770537,0.04493529258957352
1,h,61,HH,14.806997626054216,0.003511428267565786,0.05199371002190626
1,h,62,HH,13.951295619176975,0.004197584327423121,0.05856173983830411
1,h,63,HH,13.112483789954826,0.004923776783840039,0.06456294326345842
1,h,64,HH,12.291570388106685,0.005688630477690304,0.06992220192845933
1,h,65,HH,11.489599943560881,0.006489983795203269,0.07456731744707851
1,h,66,HH,10.707650846065638,0.007324745454369785,0.07843081686169807
1,h,67,HH,9.946831367470743,0.008188733160724548,0.08145194786294278
1,h,68,HH,9.20827416635516,0.009076492928373203,0.08357883535344426
1,h,69,HH,8.493129218881634,0.009981098087761153,0.08477075580568785
1,h,70,HH,7.802555063545983,0.010893927354900579,0.08500046804488161
1,h,71,HH,7.137708216862674,0.011804421855337144,0.08425651887215327
1,h,72,HH,6.499730605915266,0.012699821725806193,0.08254541996089014
1,h,73,HH,5.8897348707159924,0.013564883912087655,0.07989356979423703
1,h,74,HH,5.308787416003324,0.014381584107420409,0.07634877273166686
1,h,75,HH,4.757889141879,0.015128807506348374,0.07198118896403244
1,h,76,HH,4.237953860106887,0.015782035267491,0.06688353728220651
1,h,77,HH,3.7497845129689416,0.016313036375951828,0.06117037116204315
1,h,78,HH,3.2940474589257387,0.016689578065685717,0.054976262217814785
1,h,79,HH,2.871245277139106,0.016875172193541843,0.04845275846161618
1,h,80,HH,2.481688771515149,0.016828880024521764,0.04176404259403125
1,h,81,HH,2.12546912005033,0.016505203834151994,0.03508130106962637
1,h,82,HH,1.8024314060014133,0.015854100545165672,0.028575928736510735
1,h,83,HH,1.5121510640544433,0.014821160187909244,0.022411833148668316
1,h,84,HH,1.25391504688244,0.013348000068929555,0.016737258132218616
1,h,85,HH,1.0267097232470297,0.011372933719299372,0.01167670163144867
1,h,86,HH,0.8292176051786828,0.008831981279861956,0.007323634365870089
1,h,87,HH,0.6598249083755893,0.005660293926271209,0.0037348029212808053
1,h,88,HH,0.5166416162219492,0.0017940677711363318,9.268900728915845e-4
1,h,89,HH,0.3975350947565632,-0.002826979581434186,-0.0011238235957803085
1,h,90,HH,0.30017737222080254,-0.008256506566128752,-0.0024784164447443306
1,h,91,HH,0.22210497759745207,-0.014537776689813042,-0.0032289125660076865
1,h,92,HH,0.16078881685523627,-0.021699211504847993,-0.0034889905445560396
1,h,93,HH,0.11371011643970402,-0.029749313052117143,-0.003382797851157447
1,h,94,HH,0.07843721256050445,-0.03867107584153895,-0.003033251395726179
1,h,95,HH,0.05269718425756014,-0.04841610656153261,-0.0025513924885067507
1,h,96,HH,0.03443627678094905,-0.05889879107092055,-0.0020282550713815106
1,h,97,HH,0.021863909906989373,-0.06999098833315343,-0.0015302766632172109
