case,sex,expectancy,age,transition,effect
1,f,h,0,init,4.867897741139455
1,f,u,0,init,-2.555665615472471
1,f,t,0,init,2.3122321256669838
1,f,h,0,HH,26.27239367122122
1,f,h,1,HH,25.29423904823365
1,f,h,2,HH,24.31915041006911
1,f,h,3,HH,23.350111282778666
1,f,h,4,HH,22.389029178305645
1,f,h,5,HH,21.437214641710554
1,f,h,6,HH,20.495650200325024
1,f,h,7,HH,19.565143640137833
1,f,h,8,HH,18.646416742866975
1,f,h,9,HH,17.740157512758394
1,f,h,10,HH,16.847051432190057
1,f,h,11,HH,15.967800448929223
1,f,h,12,HH,15.103134611051152
1,f,h,13,HH,14.253819143388936
1,f,h,14,HH,13.420658556535658
1,f,h,15,HH,12.60449868962455
1,f,h,16,HH,11.806227187224138
1,f,h,17,HH,11.026772673411642
1,f,h,18,HH,10.26710274146148
1,f,h,19,HH,9.528220784839819
1,f,h,20,HH,8.811161630658514
1,f,h,21,HH,8.11698588666635
1,f,h,22,HH,7.446772869546751
1,f,h,23,HH,6.8016119420763514
1,f,h,24,HH,6.182592048945172
1,f,h,25,HH,5.590789207785572
1,f,h,26,HH,5.027251687870864
1,f,h,27,HH,4.492982601447934
1,f,h,28,HH,3.9889196520297934
1,f,h,29,HH,3.5159118432378853
1,f,h,30,HH,3.0746930662815326
1,f,h,31,HH,2.6658526703608016
1,f,h,32,HH,2.2898033936576567
1,f,h,33,HH,1.9467474041943622
1,f,h,34,HH,1.6366416713583571
1,f,h,35,HH,1.3591644460956904
1,f,h,36,HH,1.1136852329721625
1,f,h,37,HH,0.8992412219518748
1,f,h,38,HH,0.7145236075960519
1,f,h,39,HH,0.5578774197260757
1,f,h,40,HH,0.4273182611627572
1,f,h,41,HH,0.3205685382285
1,f,h,42,HH,0.2351142706977051
1,f,h,43,HH,0.1682813803892429
1,f,h,44,HH,0.11732765175337309
1,f,h,45,HH,0.07954371387642607
1,f,h,46,HH,0.05235398973144647
1,f,h,47,HH,0.03340727749558898
1,f,h,48,HH,0.020647070765667873
1,f,h,49,HH,0.012354164982675142
1,f,h,50,HH,0.0071582734316297456
1,f,h,51,HH,0.00402042442630566
1,f,h,52,HH,0.0021925535858713405
1,f,h,53,HH,0.0011636746276918292
1,f,h,54,HH,6.025614006783428e-4
1,f,h,55,HH,3.051048107316415e-4
1,f,h,56,HH,1.5131326027216784e-4
1,f,h,57,HH,7.354463298732599e-5
1,f,h,58,HH,3.500579674153597e-5
1,f,h,59,HH,1.6243717536304675e-5
1,f,h,60,HH,7.020719365752132e-6
1,f,h,61,HH,0
1,f,h,0,HU,21.28087828334494
1,f,h,1,HU,20.198834640339097
1,f,h,2,HU,19.127330135687064
1,f,h,3,HU,18.070203090284306
1,f,h,4,HU,17.030407651697754
1,f,h,5,HU,16.010415629886303
1,f,h,6,HU,15.012430079473981
1,f,h,7,HU,14.038494871493628
1,f,h,8,HU,13.090545878762612
1,f,h,9,HU,12.170428943176425
1,f,h,10,HU,11.279898832287076
1,f,h,11,HU,10.420607451080414
1,f,h,12,HU,9.594086311822213
1,f,h,13,HU,8.801726440466858
1,f,h,14,HU,8.04475784856303
1,f,h,15,HU,7.324230066263093
1,f,h,16,HU,6.640994820431304
1,f,h,17,HU,5.995691646875249
1,f,h,18,HU,5.388736991750436
1,f,h,19,HU,4.820317156176528
1,f,h,20,HU,4.290385257522584
1,f,h,21,HU,3.798662216740458
1,f,h,22,HU,3.344641634196515
1,f,h,23,HU,2.927598289479824
1,f,h,24,HU,2.546599897119718
1,f,h,25,HU,2.2005216732312602
1,f,h,26,HU,1.8880632201674246
1,f,h,27,HU,1.6077672184074225
1,f,h,28,HU,1.358039426797842
1,f,h,29,HU,1.1371695319056336
1,f,h,30,HU,0.9433524509013272
1,f,h,31,HU,0.7747097744589516
1,f,h,32,HU,0.6293111290607148
1,f,h,33,HU,0.5051953322451822
1,f,h,34,HU,0.4003912982471819
1,f,h,35,HU,0.312938712141344
1,f,h,36,HU,0.24090851437813016
1,f,h,37,HU,0.1824232117999584
1,f,h,38,HU,0.13567694657879936
1,f,h,39,HU,0.09895510856466584
1,f,h,40,HU,0.07065307760163342
1,f,h,41,HU,0.04929345331366498
1,f,h,42,HU,0.033540910140521046
1,f,h,43,HU,0.022213659435218185
1,f,h,44,HU,0.014290470243462465
1,f,h,45,HU,0.008912351405410501
1,f,h,46,HU,0.005378358917226659
1,f,h,47,HU,0.0031355462575852772
1,f,h,48,HU,0.0017637442245897023
1,f,h,49,HU,9.565087281850845e-4
1,f,h,50,HU,5.000522625761904e-4
1,f,h,51,HU,2.5214350148857183e-4
1,f,h,52,HU,1.2276264186309469e-4
1,f,h,53,HU,5.778931577521163e-5
1,f,h,54,HU,2.6323766037799957e-5
1,f,h,55,HU,1.1590690023879177e-5
1,f,h,56,HU,4.90543629795129e-6
1,f,h,57,HU,1.962329201539349e-6
1,f,h,58,HU,7.070080898419882e-7
1,f,h,59,HU,1.9233424091472383e-7
1,f,h,60,HU,0
1,f,h,61,HU,0
1,f,h,0,UH,0.15167132094536914
1,f,h,1,UH,0.14602440480921758
1,f,h,2,UH,0.14816090530378098
1,f,h,3,UH,0.15535472182465332
1,f,h,4,UH,0.1660411419114908
1,f,h,5,UH,0.17931480807831607
